"~start_node_id","~start_node_labels","~start_node_property_process_id","~start_node_property_formatted_address","~start_node_property_contact_phone","~start_node_property_additional_info","~start_node_property_latitude","~start_node_property_name","~start_node_property_system180_order","~start_node_property_location","~start_node_property_order_id","~start_node_property_order_type","~start_node_property_contact_email","~start_node_property_longitude","~relationship_type","~end_node_id","~end_node_labels","~end_node_property_formatted_address","~end_node_property_address","~end_node_property_latitude","~end_node_property_longitude","~end_node_property_process_id","~end_node_property_contact_phone","~end_node_property_additional_info","~end_node_property_name","~end_node_property_system180_order","~end_node_property_location","~end_node_property_order_id","~end_node_property_order_type","~end_node_property_contact_email","~relationship_property_name","~start_node_property_bbox_id","~start_node_property_gewicht","~start_node_property_confidence","~start_node_property_typ","~start_node_property_y_max","~start_node_property_x_min","~start_node_property_laenge","~start_node_property_confirmed","~start_node_property_reuseable","~start_node_property_reusable","~start_node_property_zustand","~start_node_property_farbe","~start_node_property_image_name","~start_node_property_breite","~start_node_property_y_min","~start_node_property_x_max","~start_node_property_class","~start_node_property_comp_id"
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:0","Order","PRODUCT_IMG2305.jpg_20250324_20250324","Amsterdam, Nordholland, Niederlande","017632308496","",52.3730796,"Order PRODUCT_IMG2305.jpg_20250324","1636123","Amsterdam, Nordholland, Niederlande","PRODUCT_IMG2305.jpg_20250324","online","jonas.brozeit@dfki.de",4.8924534,"LOCATED_AT","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:2","Location","Amsterdam, Nordholland, Niederlande","Amsterdam, Nordholland, Niederlande",52.3730796,4.8924534,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:425","Image",,,,,,"PRODUCT_IMG2305.jpg",,,,,,,"PART_OF","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:0","Order","Amsterdam, Nordholland, Niederlande",,52.3730796,4.8924534,"PRODUCT_IMG2305.jpg_20250324_20250324","017632308496","","Order PRODUCT_IMG2305.jpg_20250324","1636123","Amsterdam, Nordholland, Niederlande","PRODUCT_IMG2305.jpg_20250324","online","jonas.brozeit@dfki.de",,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:425","Image",,,,,,"PRODUCT_IMG2305.jpg",,,,,,,"SHOWS","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:467","Order",,,,,"PRODUCT_IMG2305.jpg_20250316_20250316","0631205757006","","Order PRODUCT_IMG2305.jpg_20250316","676634","Kaiserslautern","PRODUCT_IMG2305.jpg_20250316",,"jonas.brozeit@dfki.de","SHOWS",,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Mutternstab 49","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,"PART_OF","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:467","Order",,,,,"PRODUCT_IMG2305.jpg_20250316_20250316","0631205757006","","Order PRODUCT_IMG2305.jpg_20250316","676634","Kaiserslautern","PRODUCT_IMG2305.jpg_20250316",,"jonas.brozeit@dfki.de","PART_OF",49,"150-300 g",0.4247570335865021,"Strebe",117,280,null,"false","true","true","unbeschädigt","{'confidence': 0.93, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",null,111,302,"Mutternstab",
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Mutternstab 49","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,"BELONGS_TO","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:586","Image",,,,,,,,"DSC_7799.jpg",,,,,,,49,"150-300 g",0.4247570335865021,"Strebe",117,280,null,"false","true","true","unbeschädigt","{'confidence': 0.93, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",null,111,302,"Mutternstab",
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Mutternstab 49","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,"BELONGS_TO","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:584","Image",,,,,,,,"System180_Static_Space_System_Lilac_1.jpg",,,,,,,49,"150-300 g",0.4247570335865021,"Strebe",117,280,null,"false","true","true","unbeschädigt","{'confidence': 0.93, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",null,111,302,"Mutternstab",
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Mutternstab 49","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,"BELONGS_TO","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:530","Image",,,,,,,,"raumsysteme-openparti-74489-pro-b-arcit18.jpg",,,,,,,49,"150-300 g",0.4247570335865021,"Strebe",117,280,null,"false","true","true","unbeschädigt","{'confidence': 0.93, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",null,111,302,"Mutternstab",
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Mutternstab 49","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,"BELONGS_TO","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:425","Image",,,,,,,,"PRODUCT_IMG2305.jpg",,,,,,,49,"150-300 g",0.4247570335865021,"Strebe",117,280,null,"false","true","true","unbeschädigt","{'confidence': 0.93, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",null,111,302,"Mutternstab",
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Mutternstab 49","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,"PART_OF","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:587","Order",,,,,"DSC_7799.jpg_20250318_20250318","06315665765","","Order DSC_7799.jpg_20250318","5740934","GLM","DSC_7799.jpg_20250318",,"ansprechpartner@system180.de","PART_OF",49,"150-300 g",0.4247570335865021,"Strebe",117,280,null,"false","true","true","unbeschädigt","{'confidence': 0.93, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",null,111,302,"Mutternstab",
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:460","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Gerade 48","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,"PART_OF","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:467","Order",,,,,"PRODUCT_IMG2305.jpg_20250316_20250316","0631205757006","","Order PRODUCT_IMG2305.jpg_20250316","676634","Kaiserslautern","PRODUCT_IMG2305.jpg_20250316",,"jonas.brozeit@dfki.de","PART_OF",48,"150-300 g",0.42512547969818115,"Strebe",290,0,270,"false","true","true","unbeschädigt","{'confidence': 0.81, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",20,6,207,"Gerade",
